status,evaluations,generation,total_time_seconds,alg_time_seconds,eval_time_seconds,seed,discrete,discrete_active,continuous,continuous_active,expressions,mse_train,objectives,constraint_value
Running,32,0,0.000201174,8.9671e-05,0.000111503,28762,"[1,5,3,3,1,4,0,1,1,0,0,2,1,1,1,0,1,3,3,5,0,1,0,1,0,2,3,0,0,0,1]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1948.38,6139.98,8184.7,3431.52,-5696.63,9477.33,9863.37,-2887.8,10312.7,4772.63,266.96,-7641.88,-5536.99,-6656.83,-6388.12,-0.00132598,5904.43,-1127.57,10287.2,-850.04,-7325.24,9515.31,-2395.68,3077.65,2297.14,4920.16,4662.03,-1156.93,9905.86,-58.5915,-8063.68]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1948.3797522757432",2.18532e+07,"[2.18532e+07]",0
Running,67,0,0.0007223290000000001,0.000466995,0.000255334,28762,"[1,5,3,3,1,4,0,1,1,0,0,2,1,1,1,0,1,3,3,5,0,1,0,1,0,2,3,0,0,0,1]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1948.38,6139.98,8184.7,3431.52,-5696.63,9477.33,9863.37,-2887.8,10312.7,4772.63,266.96,-7641.88,-5536.99,-6656.83,-6388.12,-0.00132598,5904.43,-1127.57,10287.2,-850.04,-7325.24,9515.31,-2395.68,3077.65,2297.14,4920.16,4662.03,-1156.93,9905.86,-58.5915,-8063.68]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1948.3797522757432",2.18532e+07,"[2.18532e+07]",0
Running,135,0,0.0010186549999999998,0.00050205,0.000516605,28762,"[1,5,3,3,1,4,0,1,1,0,0,2,1,1,1,0,1,3,3,5,0,1,0,1,0,2,3,0,0,0,1]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1948.38,6139.98,8184.7,3431.52,-5696.63,9477.33,9863.37,-2887.8,10312.7,4772.63,266.96,-7641.88,-5536.99,-6656.83,-6388.12,-0.00132598,5904.43,-1127.57,10287.2,-850.04,-7325.24,9515.31,-2395.68,3077.65,2297.14,4920.16,4662.03,-1156.93,9905.86,-58.5915,-8063.68]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1948.3797522757432",2.18532e+07,"[2.18532e+07]",0
Running,270,0,0.001740888,0.000588057,0.001152831,28762,"[4,2,4,5,3,2,2,1,1,1,0,5,2,1,0,0,1,2,3,3,0,0,0,0,1,4,0,1,0,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1]","[-4163.26,6320.8,-2655.07,10034.6,-8545.16,-8592.77,191.564,-5330.94,-2384.43,-4069.04,-2568.18,-1811.78,7140.33,4173.16,-1278.76,8967.4,-6989.45,-3566.81,-897.066,-5289.43,-9069.7,-4572.98,6348.79,-10109.5,5716.05,-900.627,1576.98,6191.48,-2238.04,4616.09,-799.065]","[0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1]","((((4616.085747792409 * -799.0646742643967) + x0) + ((x0 - 5716.052854043988) - x0)) * (((x0/-6989.450475737469)/(4173.162574189788 + x0)) * ((-4069.037218313877 + x0) - (-5330.941356293147 + -2384.4317273947127))))",1.10652e+07,"[1.10652e+07]",0
Running,542,0,0.0031410500000000003,0.000754863,0.002386187,28762,"[5,4,2,4,3,5,3,0,1,1,1,5,2,0,0,0,1,3,0,4,4,0,1,1,0,4,1,1,0,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1]","[-3614.75,9784.93,1739.54,8863.21,-6790.85,-10154.1,2511.34,1563.36,61.3606,8567.37,-5380.78,-7028.02,3249.71,9769.34,-10675.7,9504.3,-6517.39,-8214.75,9641.41,9245.46,-4561.99,-9872.59,-6050.99,8918.87,1502.43,10731.5,-3.72923,-4459.91,2642.24,9984.24,5833.48]","[0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1]","((((x0 * 5833.484167893883) - -3.7292271443839127) * x0)/(((x0/-6517.385005364741) * (x0 + x0)) + ((8567.36679742972/-5380.781230228878) - (x0 - 61.36055005333401))))",604810,"[604810]",0
Running,870,1,0.005548076,0.001197083,0.004350993,28762,"[5,4,2,4,3,5,3,0,1,1,1,5,2,0,0,0,1,3,0,4,4,0,1,1,0,4,1,1,0,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1]","[-3614.75,9784.93,1739.54,8863.21,-6790.85,-10154.1,2511.34,1563.36,61.3606,8567.37,-5380.78,-7028.02,3249.71,9769.34,-10675.7,9504.3,-6517.39,-8214.75,9641.41,9245.46,-4561.99,-9872.59,-6050.99,8918.87,1502.43,10731.5,-3.72923,-4459.91,2642.24,9984.24,5833.48]","[0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1]","((((x0 * 5833.484167893883) - -3.7292271443839127) * x0)/(((x0/-6517.385005364741) * (x0 + x0)) + ((8567.36679742972/-5380.781230228878) - (x0 - 61.36055005333401))))",604810,"[604810]",0
Running,1090,1,0.006573943,0.001318496,0.005255447,28762,"[5,4,2,4,3,5,3,0,1,1,1,5,2,0,0,0,1,3,0,4,4,0,1,1,0,4,1,1,0,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1]","[-3614.75,9784.93,1739.54,8863.21,-6790.85,-10154.1,2511.34,1563.36,61.3606,8567.37,-5380.78,-7028.02,3249.71,9769.34,-10675.7,9504.3,-6517.39,-8214.75,9641.41,9245.46,-4561.99,-9872.59,-6050.99,8918.87,1502.43,10731.5,-3.72923,-4459.91,2642.24,9984.24,5833.48]","[0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1]","((((x0 * 5833.484167893883) - -3.7292271443839127) * x0)/(((x0/-6517.385005364741) * (x0 + x0)) + ((8567.36679742972/-5380.781230228878) - (x0 - 61.36055005333401))))",604810,"[604810]",0
Running,1883,2,0.012112310000000001,0.001962658,0.010149652,28762,"[5,4,2,4,3,5,3,0,1,1,1,5,2,0,0,0,1,3,0,4,4,0,1,1,0,4,1,1,0,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1]","[-3614.75,9784.93,1739.54,8863.21,-6790.85,-10154.1,2511.34,1563.36,61.3606,8567.37,-5380.78,-7028.02,3249.71,9769.34,-10675.7,9504.3,-6517.39,-8214.75,9641.41,9245.46,-4561.99,-9872.59,-6050.99,8918.87,1502.43,10731.5,-3.72923,-4459.91,2642.24,9984.24,5833.48]","[0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1]","((((x0 * 5833.484167893883) - -3.7292271443839127) * x0)/(((x0/-6517.385005364741) * (x0 + x0)) + ((8567.36679742972/-5380.781230228878) - (x0 - 61.36055005333401))))",604810,"[604810]",0
Running,2180,2,0.013354286,0.002098462,0.011255824,28762,"[5,4,2,4,3,5,3,0,1,1,1,5,2,0,0,0,1,3,0,4,4,0,1,1,0,4,5,1,0,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1]","[-3614.75,9784.93,1739.54,8863.21,-6790.85,-10154.1,2511.34,1563.36,61.3606,8567.37,-5380.78,-7028.02,3249.71,9769.34,-10675.7,9504.3,-6517.39,-8214.75,9641.41,9245.46,-4561.99,-9872.59,-6050.99,8918.87,1502.43,10731.5,-3.72923,-4459.91,2642.24,9984.24,5833.48]","[0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1]","((((x0 * 5833.484167893883) - (-4459.913424701891/x0)) * x0)/(((x0/-6517.385005364741) * (x0 + x0)) + ((8567.36679742972/-5380.781230228878) - (x0 - 61.36055005333401))))",513963,"[513963]",0
Running,4288,4,0.027068468999999998,0.003764667,0.023303802,28762,"[5,4,2,5,3,5,3,0,1,1,1,2,2,0,1,0,1,3,0,4,2,0,1,1,0,4,2,1,0,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1]","[-3614.75,9784.93,1739.54,8863.21,-6790.85,-10154.1,2511.34,1563.36,61.3606,8567.37,-5380.78,-7028.02,3249.71,9769.34,-10675.7,9504.3,-6517.39,-8214.75,9641.41,9245.46,-4561.99,-9872.59,-6050.99,8918.87,1502.43,10731.5,-3.72923,-4459.91,2642.24,9984.24,5833.48]","[0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1]","((((x0 * 5833.484167893883) - (-4459.913424701891 + x0)) * x0)/(((x0 + -6517.385005364741)/(x0 + -10675.661609251863)) + ((8567.36679742972/-5380.781230228878) - (x0 - 61.36055005333401))))",365480,"[365480]",0
