total_time_seconds,expression,mse,old_mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed,mse_val,var_y_val
3600.1651703305542,'((-0.006213627290) + (0.020545927808 * (((1.414213538170 * x0) / ((3.141592741013 * x5) / sqrt(((1.442695021629 * x6) ^ ((((-0.594022870064) * x3) - ((-0.953849315643) * x4)) - ((-0.929472446442) * x8)))))) * ((8.101928710938 * x2) * (2.978683948517 * x1)))))',0.0012928199926671,0.0012928183423355,1420281,feynman_I_9_18,2,96666,9,128,paper,4,0,1884968544,0.0013612932601614481,0.01578906201855131
3600.0989901199937,'(0.009112182073 + (0.063263155520 * (((1.402733683586 * x2) / (0.986470103264 * x5)) / (cos(((1.160817742348 * x0) ^ 0.318309873343)) / ((1.955215454102 * x1) - sin(cos((((1.018271207809 * x7) / ((-1.787610530853) * x8)) + (1.627662062645 * x4)))))))))',0.0029768211937926,0.00297682126984,1234170,feynman_I_9_18,0,96666,9,128,paper,4,0,3324115916,0.003043345843609452,0.01500963479960869
3600.3414105325937,'(0.002493150532 + (1.058850765228 * ((0.318309873343 * x2) * ((4.312107086182 * x1) * (cos(exp(sin((exp(log((((0.692879557610 * x8) + (0.693147182465 * x4)) * (((-0.019567519426) * x0) / ((-0.135900288820) * x5))))) + 2.767737865448)))) ^ 2)))))',0.0030718949729299,0.0030718964990228,2391980,feynman_I_9_18,10,96666,9,128,paper,4,0,4190266092,0.0029145829457137952,0.014635842225690015
3600.08063923195,'((-0.026428915560) + (0.015322487801 * ((log(((((-1.123311758041) * x1) / ((-0.236814141273) * x5)) ^ 2)) - ((-0.636454284191) * x6)) * ((5.338480472565 * x2) * ((0.693147182465 * x0) - ((((-0.200894042850) * x7) ^ 2) - (0.362243860960 * x8)))))))',0.0023938622008445,0.0023938613012433,3329079,feynman_I_9_18,7,96666,9,128,paper,4,0,865305066,0.002517472013343841,0.014732629314869248
3600.1199140027165,'((-0.287808090448) + ((-0.048282988369) * ((((((-0.709738135338) * x0) - 1.772453904152) + (0.360387235880 * x7)) + (((-1.654071807861) * x4) * (0.145523190498 * x6))) * ((1.864892840385 * x1) + (1.873856902122 * x2)))))',0.0033714644423028,0.003371462225914,3334959,feynman_I_9_18,19,96666,9,128,paper,4,0,2148995112,0.0034191544924446313,0.015360077705745646
3600.2418978884816,'(0.000863987545 + (0.000565696158 * (exp(((((1.409051418304 * x4) + sin(((1.404534816742 * x7) - (1.337613701820 * x8)))) / (0.975384235382 * x5)) + (log((1.880026698112 * x2)) - sin(((-0.474083483219) * x6))))) * ((8.905496597290 * x0) * (2.302585124969 * x1)))))',0.0012880978546659,0.0012880965368822,1799836,feynman_I_9_18,11,96666,9,128,paper,4,0,3160032368,0.001296580049790536,0.014869279065905265
3600.415737822652,'((-0.016405506060) + ((-1.917961835861) * ((((-0.672243177891) * x0) + ((((0.318309873343 / (0.162808552384 * x1)) + ((-0.369692742825) * x8)) - ((3.043097972870 * x4) / ((log((6.555342197418 ^ ((-0.485728621483) * x7))) - ((-0.357059240341) * x0)) ^ 2))) + ((-0.357059240341) * x6))) * ((1.431345701218 * x2) / (5.535789966583 * x5)))))',0.0017710282659719,0.0017710257088765,1833540,feynman_I_9_18,23,96666,9,128,paper,4,0,3356806661,0.0017700527507298219,0.015540393043957254
3600.2243849746883,'(0.025285109878 + ((-0.042705453932) * ((cos(sin(((0.726583182812 * x8) + (0.726583182812 * x4)))) * (2.351543664932 * x0)) * ((((1.319315433502 * x1) / (0.037010431290 * x7)) * (((0.069964185357 * x6) / ((-0.172971963882) * x3)) / (1.772453904152 * x5))) * (3.791388034821 * x2)))))',0.0009055062247721,0.0009055054979398,2064343,feynman_I_9_18,18,96666,9,128,paper,4,0,1934392872,0.0009064254342299925,0.015063915797645318
3600.6054766476154,'(0.022503413260 + (0.056824091822 * ((((-0.351349741220) * x2) * (((((1.609258890152 * x1) / (0.468190103769 * x3)) ^ (0.942552685738 * x8)) - cos((0.318309873343 * x2))) + (0.942552685738 * x4))) * (cos(((1.647403120995 * x5) + (1.567326068878 * x7))) - (2.656948328018 * x0)))))',0.0014806027792017,0.0014806021936237,2380520,feynman_I_9_18,6,96666,9,128,paper,4,0,2995172877,0.0014822545105881778,0.01533065279517718
3600.2652376517653,'(0.076713711023 + (0.647228896618 * ((sin(((((-0.778123617172) * x4) * (0.707106769085 * x8)) * ((((-0.220640465617) * x3) + (1.302302002907 * x1)) / ((-0.832263827324) * x7)))) * (0.693147182465 * x2)) * (((-0.220640465617) * x5) + exp(sin((((-0.393634170294) * x0) ^ 2)))))))',0.002387837297222,0.0023878370411694,2907446,feynman_I_9_18,26,96666,9,128,paper,4,0,3533734220,0.0022723043421609655,0.01514501969743175
3600.3340997323394,'(0.091337956488 + (0.083994336426 * ((cos(sqrt(exp((((0.177923917770 * x3) ^ (0.742846250534 * x8)) * (0.742846250534 * x7))))) - ((-0.912815570831) * x0)) * (((((0.560972034931 * x1) + (0.318309873343 * x4)) ^ 2) * (0.259824693203 * x6)) * (2.718281745911 * x2)))))',0.0019084673472249,0.0019084644736722,1567240,feynman_I_9_18,25,96666,9,128,paper,4,0,1728356533,0.0018480355372648915,0.014249937449243672
3600.8001374974847,'((-1.498276114464) + (1.520355820656 * ((((((1.414213538170 * x0) * ((((0.520112514496 * x8) - (0.378673374653 * x5)) * ((-2.289067029953) * x3)) - (cos(((-2.289067029953) * x3)) - (0.520112514496 * x8)))) ^ ((-0.067295938730) * x7)) * ((1.414213538170 * x0) + (0.520112514496 * x6))) ^ ((-4.570988178253) * x1)) ^ ((-0.030508756638) * x2))))',0.001499549458078,0.0014995482051745,580123,feynman_I_9_18,9,96666,9,128,paper,4,0,2261209995,0.0014206428977844915,0.015217626240730182
3600.9313220977783,'((-1.250584006310) + (1.277208447456 * ((((((-0.417104035616) * x7) / ((-1.386960029602) * x0)) * (0.151089489460 * x5)) ^ (0.318309873343 * x2)) ^ ((-0.259902805090) * x1))))',0.0040652303179313,0.0040652290917932,1063334,feynman_I_9_18,22,96666,9,128,paper,4,0,3980425317,0.004063886831302556,0.015228248065534996
3600.4288554154336,'(5.383229732513 + ((-6.585097789764) * sin((((cos(((-0.107221491635) * x0)) ^ ((-1.028776049614) * x2)) ^ (((-0.777527868748) * x6) - (0.707106769085 * x4))) - (0.046184808016 * x1)))))',0.0050771945693651,0.005077192094177,1031709,feynman_I_9_18,1,96666,9,128,paper,4,0,2811363264,0.004868278476469523,0.014787830527591556
3600.393883600831,'(0.037784986198 + (0.541983664036 * ((((((-0.866552829742) * x4) / (((-1.782550811768) * x5) / ((0.112695932388 * x3) + ((-2.611399412155) * x0)))) * (3.903062820435 * x2)) * ((-0.212198376656) * x1)) / (((3.385598421097 * x7) - (2.632688522339 * x6)) * (0.112695932388 * x3)))))',0.0017899803593733,0.0017899792874231,2531387,feynman_I_9_18,4,96666,9,128,paper,4,0,3687649985,0.0017033897961658926,0.014789527987376061
